filename,fold,target,category,clip_id,take,file_type,vibration_type
3-246513-B-16.wav,3,16,wind,246513,B,audio,
1-39901-A-11.wav,1,11,sea_waves,39901,A,audio,
1-19840-A-36.wav,1,36,vacuum_cleaner,19840,A,audio,
1-28135-B-11.wav,1,11,sea_waves,28135,B,audio,
2-60180-A-49.wav,2,49,hand_saw,60180,A,audio,
2-66205-A-23.wav,2,23,breathing,66205,A,audio,
1-54747-A-46.wav,1,46,church_bells,54747,A,audio,
2-152964-A-31.wav,2,31,mouse_click,152964,A,audio,
1-11687-A-47.wav,1,47,airplane,11687,A,audio,
4-204777-A-39.wav,4,39,glass_breaking,204777,A,audio,
5-160614-B-48.wav,5,48,fireworks,160614,B,audio,
4-234644-A-2.wav,4,2,pig,234644,A,audio,
4-201988-A-44.wav,4,44,engine,201988,A,audio,
1-28005-A-18.wav,1,18,toilet_flush,28005,A,audio,
5-234855-A-25.wav,5,25,footsteps,234855,A,audio,
2-50668-A-41.wav,2,41,chainsaw,50668,A,audio,
1-115545-A-48.wav,1,48,fireworks,115545,A,audio,
3-144510-A-30.wav,3,30,door_wood_knock,144510,A,audio,
4-198962-A-25.wav,4,25,footsteps,198962,A,audio,
5-177957-D-40.wav,5,40,helicopter,177957,D,audio,
2-102581-B-29.wav,2,29,drinking_sipping,102581,B,audio,
2-52001-A-28.wav,2,28,snoring,52001,A,audio,
3-142605-A-21.wav,3,21,sneezing,142605,A,audio,
2-95567-A-23.wav,2,23,breathing,95567,A,audio,
2-32515-A-4.wav,2,4,frog,32515,A,audio,
5-214759-B-5.wav,5,5,cat,214759,B,audio,
1-22804-A-46.wav,1,46,church_bells,22804,A,audio,
3-96606-A-49.wav,3,49,hand_saw,96606,A,audio,
3-110913-D-7.wav,3,7,insects,110913,D,audio,
5-249748-A-28.wav,5,28,snoring,249748,A,audio,
2-117615-E-48.wav,2,48,fireworks,117615,E,audio,
4-108352-A-33.wav,4,33,door_wood_creaks,108352,A,audio,
2-139749-A-15.wav,2,15,water_drops,139749,A,audio,
5-215658-A-12.wav,5,12,crackling_fire,215658,A,audio,
1-58846-A-34.wav,1,34,can_opening,58846,A,audio,
1-15689-A-4.wav,1,4,frog,15689,A,audio,
2-139748-A-15.wav,2,15,water_drops,139748,A,audio,
2-124564-A-15.wav,2,15,water_drops,124564,A,audio,
4-161579-A-40.wav,4,40,helicopter,161579,A,audio,
4-125072-A-19.wav,4,19,thunderstorm,125072,A,audio,
2-71162-A-1.wav,2,1,rooster,71162,A,audio,
2-98392-A-23.wav,2,23,breathing,98392,A,audio,
1-45641-A-27.wav,1,27,brushing_teeth,45641,A,audio,
4-163606-A-16.wav,4,16,wind,163606,A,audio,
3-159348-A-36.wav,3,36,vacuum_cleaner,159348,A,audio,
4-135439-A-18.wav,4,18,toilet_flush,135439,A,audio,
3-108451-A-17.wav,3,17,pouring_water,108451,A,audio,
5-156698-A-18.wav,5,18,toilet_flush,156698,A,audio,
1-30709-B-23.wav,1,23,breathing,30709,B,audio,
4-218199-C-35.wav,4,35,washing_machine,218199,C,audio,
2-135860-A-49.wav,2,49,hand_saw,135860,A,audio,
4-184237-A-28.wav,4,28,snoring,184237,A,audio,
5-198373-A-46.wav,5,46,church_bells,198373,A,audio,
1-51170-A-18.wav,1,18,toilet_flush,51170,A,audio,
3-155766-A-13.wav,3,13,crickets,155766,A,audio,
3-103051-B-19.wav,3,19,thunderstorm,103051,B,audio,
4-154793-A-4.wav,4,4,frog,154793,A,audio,
5-218494-A-22.wav,5,22,clapping,218494,A,audio,
5-157204-A-16.wav,5,16,wind,157204,A,audio,
5-260011-A-34.wav,5,34,can_opening,260011,A,audio,
3-129678-A-13.wav,3,13,crickets,129678,A,audio,
1-36402-A-23.wav,1,23,breathing,36402,A,audio,
1-53444-A-28.wav,1,28,snoring,53444,A,audio,
5-219242-A-37.wav,5,37,clock_alarm,219242,A,audio,
3-98869-A-46.wav,3,46,church_bells,98869,A,audio,
1-260640-C-2.wav,1,2,pig,260640,C,audio,
2-78651-A-44.wav,2,44,engine,78651,A,audio,
4-182613-B-11.wav,4,11,sea_waves,182613,B,audio,
3-115387-A-47.wav,3,47,airplane,115387,A,audio,
2-59566-A-46.wav,2,46,church_bells,59566,A,audio,
4-244318-A-6.wav,4,6,hen,244318,A,audio,
3-146033-A-13.wav,3,13,crickets,146033,A,audio,
1-67033-A-37.wav,1,37,clock_alarm,67033,A,audio,
1-38560-A-14.wav,1,14,chirping_birds,38560,A,audio,
5-202020-A-18.wav,5,18,toilet_flush,202020,A,audio,
3-152020-B-36.wav,3,36,vacuum_cleaner,152020,B,audio,
5-200329-B-8.wav,5,8,sheep,200329,B,audio,
1-81001-B-30.wav,1,30,door_wood_knock,81001,B,audio,
2-92978-A-29.wav,2,29,drinking_sipping,92978,A,audio,
2-72547-A-14.wav,2,14,chirping_birds,72547,A,audio,
3-169907-A-29.wav,3,29,drinking_sipping,169907,A,audio,
4-186935-A-44.wav,4,44,engine,186935,A,audio,
5-233787-A-7.wav,5,7,insects,233787,A,audio,
4-185575-A-20.wav,4,20,crying_baby,185575,A,audio,
1-17808-A-12.wav,1,12,crackling_fire,17808,A,audio,
2-132157-B-11.wav,2,11,sea_waves,132157,B,audio,
4-150364-B-46.wav,4,46,church_bells,150364,B,audio,
4-161127-A-10.wav,4,10,rain,161127,A,audio,
3-102583-C-49.wav,3,49,hand_saw,102583,C,audio,
2-108767-B-9.wav,2,9,crow,108767,B,audio,
5-204352-B-13.wav,5,13,crickets,204352,B,audio,
1-51436-A-17.wav,1,17,pouring_water,51436,A,audio,
3-98193-A-46.wav,3,46,church_bells,98193,A,audio,
4-149940-B-5.wav,4,5,cat,149940,B,audio,
1-72195-B-37.wav,1,37,clock_alarm,72195,B,audio,
1-69760-A-16.wav,1,16,wind,69760,A,audio,
5-242932-B-26.wav,5,26,laughing,242932,B,audio,
5-243773-A-44.wav,5,44,engine,243773,A,audio,
2-102414-E-17.wav,2,17,pouring_water,102414,E,audio,
3-94355-A-33.wav,3,33,door_wood_creaks,94355,A,audio,
4-172500-D-27.wav,4,27,brushing_teeth,172500,D,audio,
5-250258-A-49.wav,5,49,hand_saw,250258,A,audio,
2-18766-B-12.wav,2,12,crackling_fire,18766,B,audio,
2-102568-A-35.wav,2,35,washing_machine,102568,A,audio,
1-47819-C-5.wav,1,5,cat,47819,C,audio,
4-132383-A-2.wav,4,2,pig,132383,A,audio,
4-133895-A-7.wav,4,7,insects,133895,A,audio,
4-169127-A-41.wav,4,41,chainsaw,169127,A,audio,
3-166324-A-15.wav,3,15,water_drops,166324,A,audio,
1-50625-A-17.wav,1,17,pouring_water,50625,A,audio,
2-135649-C-45.wav,2,45,train,135649,C,audio,
1-24796-A-47.wav,1,47,airplane,24796,A,audio,
5-263902-A-36.wav,5,36,vacuum_cleaner,263902,A,audio,
5-253085-B-3.wav,5,3,cow,253085,B,audio,
4-196672-A-8.wav,4,8,sheep,196672,A,audio,
4-185575-C-20.wav,4,20,crying_baby,185575,C,audio,
3-142005-A-10.wav,3,10,rain,142005,A,audio,
1-196660-A-8.wav,1,8,sheep,196660,A,audio,
