id,class,category,design,rating,audioFile,vibrationFile,target,fold,clip_id,take,ratingCategory
1-100038-A-14,A,chirping_birds,freqshift,12.5,1-100038-A-14.wav,1-100038-A-14-vib-freqshift.wav,14,1,100038,A,Very Poor
1-100038-A-14,A,chirping_birds,hapticgen,27.5,1-100038-A-14.wav,1-100038-A-14-vib-hapticgen.wav,14,1,100038,A,Poor
1-100038-A-14,A,chirping_birds,percept,5,1-100038-A-14.wav,1-100038-A-14-vib-percept.wav,14,1,100038,A,Very Poor
1-100038-A-14,A,chirping_birds,pitchmatch,71.5,1-100038-A-14.wav,1-100038-A-14-vib-pitchmatch.wav,14,1,100038,A,Good
1-100210-A-36,A,vacuum_cleaner,freqshift,61,1-100210-A-36.wav,1-100210-A-36-vib-freqshift.wav,36,1,100210,A,Good
1-100210-A-36,A,vacuum_cleaner,hapticgen,47,1-100210-A-36.wav,1-100210-A-36-vib-hapticgen.wav,36,1,100210,A,Fair
1-100210-A-36,A,vacuum_cleaner,percept,54.5,1-100210-A-36.wav,1-100210-A-36-vib-percept.wav,36,1,100210,A,Fair
1-100210-A-36,A,vacuum_cleaner,pitchmatch,64,1-100210-A-36.wav,1-100210-A-36-vib-pitchmatch.wav,36,1,100210,A,Good
1-101296-A-19,A,thunderstorm,freqshift,20,1-101296-A-19.wav,1-101296-A-19-vib-freqshift.wav,19,1,101296,A,Poor
1-101296-A-19,A,thunderstorm,hapticgen,60,1-101296-A-19.wav,1-101296-A-19-vib-hapticgen.wav,19,1,101296,A,Good
1-101296-A-19,A,thunderstorm,percept,2.5,1-101296-A-19.wav,1-101296-A-19-vib-percept.wav,19,1,101296,A,Very Poor
1-101296-A-19,A,thunderstorm,pitchmatch,70,1-101296-A-19.wav,1-101296-A-19-vib-pitchmatch.wav,19,1,101296,A,Good
1-101296-B-19,B,thunderstorm,freqshift,76,1-101296-B-19.wav,1-101296-B-19-vib-freqshift.wav,19,1,101296,B,Good
1-101296-B-19,B,thunderstorm,hapticgen,42.5,1-101296-B-19.wav,1-101296-B-19-vib-hapticgen.wav,19,1,101296,B,Fair
1-101296-B-19,B,thunderstorm,percept,61.5,1-101296-B-19.wav,1-101296-B-19-vib-percept.wav,19,1,101296,B,Good
1-101296-B-19,B,thunderstorm,pitchmatch,66.5,1-101296-B-19.wav,1-101296-B-19-vib-pitchmatch.wav,19,1,101296,B,Good
1-101404-A-34,A,can_opening,freqshift,73,1-101404-A-34.wav,1-101404-A-34-vib-freqshift.wav,34,1,101404,A,Good
1-101404-A-34,A,can_opening,hapticgen,53.5,1-101404-A-34.wav,1-101404-A-34-vib-hapticgen.wav,34,1,101404,A,Fair
1-101404-A-34,A,can_opening,percept,38,1-101404-A-34.wav,1-101404-A-34-vib-percept.wav,34,1,101404,A,Poor
1-101404-A-34,A,can_opening,pitchmatch,46,1-101404-A-34.wav,1-101404-A-34-vib-pitchmatch.wav,34,1,101404,A,Fair
1-103995-A-30,A,door_wood_knock,freqshift,13.5,1-103995-A-30.wav,1-103995-A-30-vib-freqshift.wav,30,1,103995,A,Very Poor
1-103995-A-30,A,door_wood_knock,hapticgen,2,1-103995-A-30.wav,1-103995-A-30-vib-hapticgen.wav,30,1,103995,A,Very Poor
1-103995-A-30,A,door_wood_knock,percept,32,1-103995-A-30.wav,1-103995-A-30-vib-percept.wav,30,1,103995,A,Poor
1-103995-A-30,A,door_wood_knock,pitchmatch,100,1-103995-A-30.wav,1-103995-A-30-vib-pitchmatch.wav,30,1,103995,A,Excellent
1-105224-A-22,A,clapping,freqshift,36,1-105224-A-22.wav,1-105224-A-22-vib-freqshift.wav,22,1,105224,A,Poor
1-105224-A-22,A,clapping,hapticgen,32.5,1-105224-A-22.wav,1-105224-A-22-vib-hapticgen.wav,22,1,105224,A,Poor
1-105224-A-22,A,clapping,percept,11,1-105224-A-22.wav,1-105224-A-22-vib-percept.wav,22,1,105224,A,Very Poor
1-105224-A-22,A,clapping,pitchmatch,43,1-105224-A-22.wav,1-105224-A-22-vib-pitchmatch.wav,22,1,105224,A,Fair
1-110537-A-22,A,clapping,freqshift,90.5,1-110537-A-22.wav,1-110537-A-22-vib-freqshift.wav,22,1,110537,A,Excellent
1-110537-A-22,A,clapping,hapticgen,25,1-110537-A-22.wav,1-110537-A-22-vib-hapticgen.wav,22,1,110537,A,Poor
1-110537-A-22,A,clapping,percept,18.5,1-110537-A-22.wav,1-110537-A-22-vib-percept.wav,22,1,110537,A,Very Poor
1-110537-A-22,A,clapping,pitchmatch,80,1-110537-A-22.wav,1-110537-A-22-vib-pitchmatch.wav,22,1,110537,A,Excellent
1-115521-A-19,A,thunderstorm,freqshift,74.5,1-115521-A-19.wav,1-115521-A-19-vib-freqshift.wav,19,1,115521,A,Good
1-115521-A-19,A,thunderstorm,hapticgen,84.5,1-115521-A-19.wav,1-115521-A-19-vib-hapticgen.wav,19,1,115521,A,Excellent
1-115521-A-19,A,thunderstorm,percept,15,1-115521-A-19.wav,1-115521-A-19-vib-percept.wav,19,1,115521,A,Very Poor
1-115521-A-19,A,thunderstorm,pitchmatch,84,1-115521-A-19.wav,1-115521-A-19-vib-pitchmatch.wav,19,1,115521,A,Excellent
1-115545-A-48,A,fireworks,freqshift,33,1-115545-A-48.wav,1-115545-A-48-vib-freqshift.wav,48,1,115545,A,Poor
1-115545-A-48,A,fireworks,hapticgen,59,1-115545-A-48.wav,1-115545-A-48-vib-hapticgen.wav,48,1,115545,A,Fair
1-115545-A-48,A,fireworks,percept,23,1-115545-A-48.wav,1-115545-A-48-vib-percept.wav,48,1,115545,A,Poor
1-115545-A-48,A,fireworks,pitchmatch,66.5,1-115545-A-48.wav,1-115545-A-48-vib-pitchmatch.wav,48,1,115545,A,Good
1-116765-A-41,A,chainsaw,freqshift,90.5,1-116765-A-41.wav,1-116765-A-41-vib-freqshift.wav,41,1,116765,A,Excellent
1-116765-A-41,A,chainsaw,hapticgen,36,1-116765-A-41.wav,1-116765-A-41-vib-hapticgen.wav,41,1,116765,A,Poor
1-116765-A-41,A,chainsaw,percept,22,1-116765-A-41.wav,1-116765-A-41-vib-percept.wav,41,1,116765,A,Poor
1-116765-A-41,A,chainsaw,pitchmatch,97.5,1-116765-A-41.wav,1-116765-A-41-vib-pitchmatch.wav,41,1,116765,A,Excellent
